127.0.0.1 - - [03/Feb/2025:08:16:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:30:25 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/commonCode/alertlist?_dc=1738546225317&userId=MOSTADMIN&userType=I&page=1&start=0&limit=25 HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:40 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1738546300581 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:40 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/checkSession?_dc=1738546300581 HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:40 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1738546300951&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:40 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1738546300951&page=1&start=0&limit=25 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:41 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1738546301035&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:41 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1738546301035&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:41 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1738546301219&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:41 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/commonCode/alertlist?_dc=1738546301226&userId=MOSTADMIN&userType=I&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2025:08:31:41 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1738546301267&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
