127.0.0.1 - - [08/Jan/2025:08:35:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:25 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1736302525504&userId=KSPTARSYAD&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:25 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736302525788&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:26 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736302525132&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:26 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1736302525788&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:26 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736302526333&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:26 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/basic/profile?_dc=1736302526333&page=1&start=0&limit=25 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:29 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736302529949&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:30 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736302529949&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:30 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736302530785&code=MT&defaultCheck=Y&gridReference=refPermitCertificateUploadGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:30 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736302530787&code=MT&defaultCheck=Y&gridReference=refTruckAssignmentGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:30 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1736302530795&userId=KSPTARSYAD&menuId=MPDM108&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:09:15:31 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/columnsetting/searchItems?_dc=1736302530787&code=MT&defaultCheck=Y&gridReference=refTruckAssignmentGrid&page=1&start=0&limit=25 HTTP/1.1" 200 345
