127.0.0.1 - - [25/Nov/2024:08:24:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:10 +0700] "GET /MOST_PPSB_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1732498987858&vslCallId=ASHL&cgTpCd=BBK&startDtStr=10%2F24%2F2024%2007%3A00&endDtStr=10%2F24%2F2024%2014%3A59&blNo=BLLV1&searchType=discharging&gateTxnNo=&sdoNo=&hhtFlags=1STLD&workYmd=20241024&page=1&start=0&limit=25 HTTP/1.1" 200 29570
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:10 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/cargodischarging/hatchList?_dc=1732498990421&vslCallId=ASHL&cgTpCd=BBK&workYmd=20241024&shftId=SF0014&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:11 +0700] "GET /MOST_PPSB_Web/rest/v1/cargodischarging/hatchList?_dc=1732498990421&vslCallId=ASHL&cgTpCd=BBK&workYmd=20241024&shftId=SF0014&page=1&start=0&limit=25 HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:11 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498991025&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:11 +0700] "GET /MOST_PPSB_Web/rest/v1/combobox/codeMaster?_dc=1732498991025&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 63918
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498994594&code=MT&defaultCheck=Y&gridReference=refFileUpload&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498994597&code=MT&defaultCheck=Y&gridReference=refDamamageStore&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/blSnNo?_dc=1732498994600&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/thedamagedesc?_dc=1732498994602&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/inforblsn?_dc=1732498994610&vslCallId=ASHL&blSn=BLLV1&locCd=VSL&ixCd=I&cgTpCd=BBK&blOrSn=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:14 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498994613&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:15 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/blSnNo?_dc=1732498994600&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 13895
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:15 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/thedamagedesc?_dc=1732498994602&page=1&start=0&limit=25 HTTP/1.1" 200 225749
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:15 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/inforblsn?_dc=1732498995828&vslCallId=ASHL&blSn=BLLV1&locCd=VSL&ixCd=I&cgTpCd=BBK&blOrSn=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:15 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/doGrNo?_dc=1732498995830&vslCallId=ASHL&blSn=BLLV1&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498994597&code=MT&defaultCheck=Y&gridReference=refDamamageStore&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732498994594&code=MT&defaultCheck=Y&gridReference=refFileUpload&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/inforblsn?_dc=1732498994610&vslCallId=ASHL&blSn=BLLV1&locCd=VSL&ixCd=I&cgTpCd=BBK&blOrSn=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498996276&pgmId=DM001&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498994613&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/doGrNo?_dc=1732498995830&vslCallId=ASHL&blSn=BLLV1&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/inforblsn?_dc=1732498995828&vslCallId=ASHL&blSn=BLLV1&locCd=VSL&ixCd=I&cgTpCd=BBK&blOrSn=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:16 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498996756&pgmId=DM001&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:17 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498996276&pgmId=DM001&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:17 +0700] "GET /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732498996756&pgmId=DM001&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732499038332&code=MT&defaultCheck=Y&gridReference=refFileUpload&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1732499038336&code=MT&defaultCheck=Y&gridReference=refDamamageStore&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/inforblsn?_dc=1732499038352&vslCallId=ASHL&blSn=BLLV1&locCd=VSL&ixCd=I&cgTpCd=BBK&blOrSn=&cgNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/blSnNo?_dc=1732499038341&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/thedamagedesc?_dc=1732499038345&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2024:08:43:58 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/damageDimensionCheck/listDamage?_dc=1732499038354&vslCallId=ASHL&cgNo=BLLV1&page=1&start=0&limit=100 HTTP/1.1" 200 -
